Emotion,Comment
0,"On days when I feel close to my partner and other friends.   
When I feel at peace with myself and also experience a close  
contact with people whom I regard greatly."
1,"Every time I imagine that someone I love or I could contact a  
serious illness, even death."
2,"When I had been obviously unjustly treated and had no possibility  
of elucidating this."
3,"When I think about the short time that we live and relate it to  
the periods of my life when I think that I did not use this  
short time."
4,"At a gathering I found myself involuntarily sitting next to two  
people who expressed opinions that I considered very low and  
discriminating."
5,"When I realized that I was directing the feelings of discontent  
with myself at my partner and this way was trying to put the blame  
on him instead of sorting out my own feeliings."
0,"After my girlfriend had taken her exam we went to her parent's  
place."
1,"When, for the first time I realized the meaning of death."
2,"When a car is overtaking another and I am forced to drive off the  
road."
3,"When I recently thought about the hard work it takes to study, and   
how one wants to try something else.  When I read a theoretical  
book in English that I did not understand."
6,"When I think that I do not study enough.  After the weekend I  
think that I should have been able to have accomplished  
something during that time."
0,When I pass an examination which I did not think I did well.
1,"When one has arranged to meet someone and that person arrives  
late, in the meantime one starts thinking about all that could  
have gone wrong e.g a traffic accident."
2,When one is unjustly accused of something one has not done.
3,When one's studies seem hopelessly difficult and uninteresting.  
4,"When one finds out that someone you know is not at all like one  
had thought, for instance friends who steal and things like that,  
quite unwarranted."
5,"When one has been unjust, stupid towards someone else. "
0,Passing an exam I did not expect to pass.
6,When excuses are necessary and I get out of doing it myself.
0,When I had my children.
1,"When my 2 year old son climbed up and sat on the 7th floor  
balcony with his legs hanging out.  He was holding on tightly to  
the upper railing of the balcony but he could have easily lost  
his balance when he sat down."
2,When my partner was attacked and lost three teeth.
5,"When I saw my 18 year old son grab an oxygen mask as he had  
breathing difficulties.  I had a bad conscience because I had not  
stopped smoking.  Medication for the dilation of his breathing  
tubes also caused a sense of guilt in me."
6,"I experience a sense of guilt as my middle son cannot express  
himself like other children, neither verbally nor in writing."
0,When my child was born.
1,"It was spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.
 The branch went through the ice and I fell in, the water closed  
in over my head."
2,"Unjust accusations directed at me and my way of acting, by someone close to me.  "
3,Failing an examination.
4,"A drunkard fell, started bleeding and wet himself.  Disgust that  
turned into sadness-unpleasantness."
6,"When I am in an environment or with a person much worse off than  
me, I realize how privileged I am."
0,When I saw a person I had not seen for a long time.
1,"When, as a child, I was nearly knocked down by a car."
2,"When I heard on the radio that the football match in Belgium had  
ended in a catastrophe, and several people had died.  I could not  
 understand how normal people could behave in such a way."
3,"When I feel lonely, perhaps because I have to study a lot and I  
am shut up in my appartment.  Nothing happens in particular  
because there is no time for anything else."
4,"When one learns through the mass media all the wars and killing  
going on in the world."
5,"I lied, to be precise I cancelled a meeting with a good friend."
0,When I was accepted for a course on finance and accounting.
4,"When I had just moved into my new appartment I found a ventilator  
in the kitchen.  I was going to clean it when I found that the  
drum was full of mud and slime.  I felt disgusted."
5,"My elder brother and I have not always had a good relationship  
and I feel ashamed of myself as I do not call him to talk to him  
nowadays."
6,"At my Summer job a new caretaker had been employed who was my age  
 but I preferred going out for lunch with the accounts personnel  
rather than with him."
0,Passed an exam by 2 points.
1,"In a cottage in a large forest, I was alone for a while in the  dark."
4,"I saw a cripple in rags with small children in Italy.  He was  
probably an imposter."
6,"I was the reason behind the break-up of my friend's relationship  
with his girlfriend.  She finished with him."
2,I locked myself out.
3,I missed the last tram home and had to walk in the pouring rain.
4,I found some worms in the food and I had obviously eaten some.
5,"My friend was so intoxicated that the police came and took him  
away, and they later contacted his parents."
0,When I won a trip to Greece in a competition.
2,"At work, when an elderly man complained unjustifiably about me and  
distrusted me."
3,When I had not understood anything after a lecture.
4,When an alcoholic stood dribbling over a food counter.
5,"When my friend and I were discussing the good looks of a guy we  
realized that he had been listening."
6,"When I complained about a colleague to the manager and he told  
her that someone had complained; this colleague came to me  
believing that I liked her."
0,"At a friend's birthday party with some of my closest friends.  It  
was all very pleasant and one could say that I was happy to have  
such good friends."
2,Mad at my dad.
3,A case of unrequited love.
5,Nearly caught masturbating.
0,I felt very happy when I won the football pools.
1,"When I flew from Athens to Copenhagen after a holiday.  The plane  
was caught in a storm and it began to shake and I thouhght that  
we were going to crash."
2,When someone stole my bike.
3,"When I saw the list of books to read for an acccouting course, I  
thought "" Oh God how will I ever manaage it!"""
4,"It was when I read a newspaper article on the future and they  
foresaw that we would be eating frog-burgers by the year 2000.   
An illustration showed a frog between two pieces of bread."
5,"When I dropped a bottle in the state liquor store and everyboby  
started laughing."
2,When friends try to put me down or hurt me.  
4,When someone makes advances that one does not want.
5,The discovery that one has only thought of oneself.
0,When I passed the first examination that I had to repeat.
2,When my boyfriend went away for a month long holiday without me.
3,"Last year when I worked during the Summer holidays and studied  
at the same time for an examination I had to repeat; my boyfriend  
went to Greece for a holiday for a month."
6,When I realized that I had three more examinations to take.
0,"The day I was told that I had been accepted as a student of  
economics."
1,"While taking a short cut through the Vasa park, I was surrounded  
by three people who tried to steal my money.  I was scared and  
was saved only by the appearance of other people."
2,"At a restaurant I observed how the gypsies tried to get money by  
cheating the foreigners i.e non Swedish speaking.  My anger had  
nothing to do with hatred against foreigners, but it was an  
expression of the anger I feel when I see people being used ."
